date,price,market_cap,volume,coin_id,symbol,name,market_cap_rank,daily_return,market_cap_change,volume_change,previous_day_price,previous_day_return,previous_day_volume,ma_7,ma_14,ma_30,volatility_7,volatility_14,volatility_30,volume_to_market_cap,price_vs_ma_7,price_vs_ma_14,price_vs_ma_30,next_day_price,next_day_return
2025-09-25,211.59608812684968,115032433454.73328,8445521212.739207,solana,sol,Solana,7,-0.012060759946651234,-0.012750808085874143,0.1148243664240427,214.17925267896382,-0.0279466064326086,7575651795.115867,229.73125982713165,234.14637983269336,219.52366133090203,0.027187514559583733,0.031953773159701465,0.03282424950717858,0.07341860864016779,0.9210591901427418,0.903691478288254,0.963887386188851,192.18165357078567,-0.09175233213397242
2025-09-26,192.18165357078567,104476128475.99643,12016864135.347467,solana,sol,Solana,7,-0.09175233213397238,-0.09176807498287765,0.422868267410335,211.59608812684968,-0.012060759946651234,8445521212.739207,221.8206014775003,231.537963637046,219.39685655302654,0.034329321449272324,0.038765605769967085,0.03624260062959231,0.11502018988106325,0.8663832497554518,0.8300222155881337,0.875954453451054,205.1199454921513,0.06732324174013883
2025-09-27,205.1199454921513,111442276251.7605,10264035473.466131,solana,sol,Solana,7,0.06732324174013882,0.06667693259101348,-0.1458640658776703,192.18165357078567,-0.09175233213397238,12016864135.347467,217.07513147474202,228.88522786588163,219.45774081429357,0.051596152957730804,0.039938418425316,0.03769432998381254,0.09210181107821715,0.9449260451836613,0.8961694356804192,0.9346671697751823,203.5749247337909,-0.007532279489707151
2025-09-28,203.5749247337909,110625886749.88844,4017566336.8666024,solana,sol,Solana,7,-0.007532279489707139,-0.007325671453692673,-0.608578288018145,205.1199454921513,0.06732324174013882,10264035473.466131,211.94820929477643,226.09289398367235,219.09191866637826,0.050817423148118,0.0397876863554022,0.036288419808461855,0.03631669272807573,0.9604937234957244,0.9004039054340752,0.9291758727248365,210.7450481378904,0.03522105393616453
2025-09-29,210.7450481378904,114541266794.95769,4489384967.131298,solana,sol,Solana,7,0.03522105393616459,0.035392982240417536,0.1174389146820356,203.5749247337909,-0.007532279489707139,4017566336.8666024,208.2476906655459,223.96617584057623,219.28064183199422,0.055272645509832484,0.041728374181711714,0.035934941014252084,0.039194476303180965,1.011992245697242,0.9409681946255273,0.9610745680841106,212.92955681530267,0.010365646532216305
2025-09-30,212.92955681530267,115729984092.68108,6935052896.50192,solana,sol,Solana,7,0.010365646532216388,0.010378070113816085,0.5447668104375989,210.7450481378904,0.03522105393616459,4489384967.131298,207.18949565081923,222.47287154489317,219.6212889932379,0.050303509347060446,0.04162270157671644,0.035882137580471686,0.05992442624849978,1.0277044024189204,0.9571034676573376,0.969530585087581,208.6992944881733,-0.019866956895978234
2025-10-01,208.6992944881733,113428586887.75471,7027033380.102042,solana,sol,Solana,7,-0.019866956895978283,-0.019885919997045143,0.013263126463897379,212.92955681530267,0.010365646532216388,6935052896.50192,206.4066444807063,220.45116232765812,219.88123232208284,0.04974588397350627,0.041382420521689924,0.03605504141537908,0.06195116745177976,1.0111074428501807,0.9466917401777273,0.9491455559175228,221.2188833389755,0.05998864960950628
2025-10-02,221.2188833389755,120044760192.73802,8473857082.585505,solana,sol,Solana,7,0.05998864960950634,0.058328975847424136,0.20589395612952854,208.6992944881733,-0.019866956895978283,7027033380.102042,207.78132951100997,218.7562946690708,220.69240111638237,0.054675208259776384,0.04396120442340244,0.037315037708904486,0.07058914582344362,1.064671613467819,1.0112572242715578,1.0023855928882457,234.61674360916186,0.06056381836832937
2025-10-03,234.61674360916186,127362028246.18869,10240423698.713894,solana,sol,Solana,7,0.06056381836832947,0.0609544976532288,0.20847255257099317,221.2188833389755,0.05998864960950634,8473857082.585505,213.843485230778,217.83204335413913,221.53861366470255,0.035431692548053534,0.04733953334172795,0.03720162542742835,0.08040405637164733,1.0971423485544372,1.0770534031475576,1.0590331849067764,233.06458024680495,-0.006615739944556518
2025-10-04,233.06458024680495,127150990208.83511,9409846313.93892,solana,sol,Solana,7,-0.0066157399445565535,-0.001656993377536664,-0.08110771675192385,234.61674360916186,0.06056381836832947,10240423698.713894,217.83557591001423,217.4553536923781,222.2848068333441,0.0332063091241449,0.04632146422181124,0.03725328846966125,0.07400529322252242,1.0699105473161175,1.071781293444301,1.0484953225865,227.93905953905113,-0.02199184750564039
